Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
ge_default_20210422100249_1,Assign,AI Core,525,6661.54,0.96,12.688,180.56,61.828628
ge_default_20210422100249_1,Mul,AI Core,63,4112.66,1.38,65.28,295.18,38.171372
ge_default_20210422100356_11,TransData,AI Core,710,86896.07,1.0,122.388,4990.84,33.734116
ge_default_20210422100356_11,Conv2DBackpropInputD,AI Core,55,51325.02,52.99,933.182,3041.53,19.925
ge_default_20210422100356_11,Conv2DBackpropFilterD,AI Core,42,22809.69,63.7,543.087,2143.25,8.855
ge_default_20210422100356_11,Conv2D,AI Core,47,17784.63,26.59,378.396,1484.16,6.904211
ge_default_20210422100356_11,Mul,AI Core,86,11548.62,1.31,134.286,1684.02,4.483315
ge_default_20210422100356_11,SoftmaxV2,AI Core,3,10070.14,3288.23,3356.713,3484.34,3.909351
ge_default_20210422100356_11,Cast,AI Core,340,9995.99,0.99,29.399,587.77,3.880565
ge_default_20210422100356_11,BatchMatMul,AI Core,14,8150.33,478.25,582.166,680.79,3.164058
ge_default_20210422100356_11,ReduceSumD,AI Core,52,7585.42,1.26,145.873,2639.11,2.944753
ge_default_20210422100356_11,RealDiv,AI Core,109,4615.23,1.21,42.341,198.36,1.791689
ge_default_20210422100356_11,ApplyAdamD,AI Core,52,3209.25,2.02,61.716,656.84,1.24587
ge_default_20210422100356_11,AssignAdd,AI Core,8,2462.92,296.44,307.865,313.87,0.956136
ge_default_20210422100356_11,ReduceMeanD,AI Core,21,2173.77,1.4,103.512,362.8,0.843884
ge_default_20210422100356_11,Sub,AI Core,3,2143.08,1.53,714.36,1071.85,0.83197
ge_default_20210422100356_11,MatMulV2,AI Core,244,1990.24,1.25,8.156,99.9,0.772635
ge_default_20210422100356_11,BNTrainingUpdate,AI Core,25,1655.11,22.52,66.204,404.97,0.642534
ge_default_20210422100356_11,Add,AI Core,19,1411.57,1.26,74.293,595.29,0.547989
ge_default_20210422100356_11,BNTrainingUpdateGrad,AI Core,24,1344.83,12.01,56.034,129.25,0.522079
ge_default_20210422100356_11,BNTrainingReduceGrad,AI Core,22,1334.86,11.59,60.675,160.92,0.518209
ge_default_20210422100356_11,Neg,AI Core,22,1333.07,1.48,60.594,270.51,0.517514
ge_default_20210422100356_11,AddN,AI Core,61,1278.85,1.15,20.964,158.07,0.496465
ge_default_20210422100356_11,SquaredDifference,AI Core,10,1260.31,6.83,126.031,370.97,0.489268
ge_default_20210422100356_11,BiasAddGrad,AI Core,8,1023.55,54.29,127.943,177.6,0.397355
ge_default_20210422100356_11,SliceD,AI Core,18,896.57,15.97,49.809,108.18,0.348059
ge_default_20210422100356_11,BNTrainingReduce,AI Core,11,650.94,22.22,59.176,244.56,0.252703
ge_default_20210422100356_11,Assign,AI Core,89,526.25,0.97,5.912,206.82,0.204297
ge_default_20210422100356_11,ReluGradV2,AI Core,12,474.18,8.78,39.515,111.17,0.184082
ge_default_20210422100356_11,BiasAdd,AI Core,6,438.93,26.13,73.155,204.63,0.170398
ge_default_20210422100356_11,Relu,AI Core,3,396.63,1.74,132.21,392.85,0.153977
ge_default_20210422100356_11,MaxPoolGrad,AI Core,4,308.34,40.59,77.085,117.88,0.119701
ge_default_20210422100356_11,L2Normalize,AI Core,85,228.7,1.31,2.69,11.55,0.088784
ge_default_20210422100356_11,ReluV2,AI Core,2,138.17,37.72,69.085,100.45,0.053639
ge_default_20210422100356_11,MaxPool,AI Core,6,86.79,7.59,14.465,28.24,0.033693
ge_default_20210422100356_11,Rsqrt,AI Core,11,16.3,1.34,1.481,1.88,0.006328
ge_default_20210422100356_11,TileD,AI Core,2,15.28,7.27,7.64,8.01,0.005932
ge_default_20210422100356_11,SplitVD,AI Core,1,8.77,8.77,8.77,8.77,0.003405
ge_default_20210422100356_11,Maximum,AI Core,1,1.5,1.5,1.5,1.5,0.000582
ge_default_20210422100356_11,Square,AI Core,1,1.17,1.17,1.17,1.17,0.000454
ge_default_20210422100515_21,Conv2D,AI Core,62,296367.18,29.53,4780.115,92235.56,56.695237
ge_default_20210422100515_21,TransData,AI Core,710,75398.31,1.02,106.194,5111.14,14.423746
ge_default_20210422100515_21,Conv2DBackpropInputD,AI Core,41,39941.97,37.95,974.194,3041.32,7.640925
ge_default_20210422100515_21,Mul,AI Core,178,20058.38,1.0,112.687,1698.94,3.837181
ge_default_20210422100515_21,Conv2DBackpropFilterD,AI Core,20,16518.2,144.04,825.91,2137.79,3.159943
ge_default_20210422100515_21,Cast,AI Core,463,11462.63,1.01,24.757,601.16,2.192809
ge_default_20210422100515_21,SoftmaxV2,AI Core,3,9967.57,3284.05,3322.523,3391.68,1.906803
ge_default_20210422100515_21,ReduceSumD,AI Core,59,9159.09,2.21,155.238,5276.7,1.75214
ge_default_20210422100515_21,BatchMatMul,AI Core,14,8613.06,525.86,615.218,744.82,1.647684
ge_default_20210422100515_21,Sub,AI Core,83,4836.45,1.16,58.27,1073.76,0.925216
ge_default_20210422100515_21,AddN,AI Core,28,3790.4,2.25,135.371,805.13,0.725106
ge_default_20210422100515_21,RealDiv,AI Core,86,3586.28,1.24,41.7,196.41,0.686058
ge_default_20210422100515_21,ApplyAdamD,AI Core,69,3369.9,2.04,48.839,660.88,0.644664
ge_default_20210422100515_21,Add,AI Core,29,2424.08,1.31,83.588,613.22,0.463728
ge_default_20210422100515_21,ReduceMeanD,AI Core,20,2162.23,1.34,108.111,351.79,0.413636
ge_default_20210422100515_21,TileD,AI Core,21,2114.38,5.74,100.684,383.07,0.404482
ge_default_20210422100515_21,BNTrainingUpdate,AI Core,24,1546.52,8.29,64.438,431.68,0.29585
ge_default_20210422100515_21,MatMulV2,AI Core,215,1417.84,1.18,6.594,100.68,0.271234
ge_default_20210422100515_21,Neg,AI Core,32,1380.42,1.4,43.138,271.05,0.264075
ge_default_20210422100515_21,BNTrainingReduceGrad,AI Core,13,1280.84,11.38,98.526,578.03,0.245026
ge_default_20210422100515_21,SquaredDifference,AI Core,10,1271.33,12.5,127.133,377.98,0.243206
ge_default_20210422100515_21,BNTrainingUpdateGrad,AI Core,13,1202.65,11.52,92.511,542.82,0.230068
ge_default_20210422100515_21,SliceD,AI Core,18,1035.76,11.56,57.542,423.86,0.198142
ge_default_20210422100515_21,ReluGradV2,AI Core,13,895.8,8.7,68.907,424.5,0.171367
ge_default_20210422100515_21,BNTrainingReduce,AI Core,18,846.41,16.78,47.022,244.8,0.161919
ge_default_20210422100515_21,BiasAdd,AI Core,6,442.66,28.09,73.776,201.42,0.084681
ge_default_20210422100515_21,MaxPoolGrad,AI Core,4,436.74,37.83,109.185,211.66,0.083549
ge_default_20210422100515_21,BiasAddGrad,AI Core,24,402.66,3.54,16.777,155.38,0.077029
ge_default_20210422100515_21,Relu,AI Core,11,302.45,5.83,27.495,109.22,0.057859
ge_default_20210422100515_21,L2Normalize,AI Core,85,225.77,1.21,2.656,11.54,0.04319
ge_default_20210422100515_21,Assign,AI Core,86,112.07,0.97,1.303,4.36,0.021439
ge_default_20210422100515_21,MaxPool,AI Core,6,90.65,8.71,15.108,28.49,0.017341
ge_default_20210422100515_21,BNTrainingUpdateV3,AI Core,1,22.66,22.66,22.66,22.66,0.004335
ge_default_20210422100515_21,Rsqrt,AI Core,11,16.63,1.25,1.511,1.71,0.003181
ge_default_20210422100515_21,RsqrtGrad,AI Core,10,15.08,1.32,1.508,1.67,0.002885
ge_default_20210422100515_21,SplitVD,AI Core,1,11.51,11.51,11.51,11.51,0.002202
ge_default_20210422100515_21,AssignSub,AI Core,6,8.07,1.17,1.345,1.61,0.001544
ge_default_20210422100515_21,Maximum,AI Core,1,1.37,1.37,1.37,1.37,0.000262
ge_default_20210422100515_21,Square,AI Core,1,1.35,1.35,1.35,1.35,0.000258
ge_default_20210422100606_11,TransData,AI Core,713,87128.24,0.99,122.199,5121.55,33.700336
ge_default_20210422100606_11,Conv2DBackpropInputD,AI Core,55,51452.87,53.85,935.506,3040.0,19.901458
ge_default_20210422100606_11,Conv2DBackpropFilterD,AI Core,42,22859.78,62.87,544.28,2141.36,8.841935
ge_default_20210422100606_11,Conv2D,AI Core,47,17889.51,28.38,380.627,1469.78,6.919485
ge_default_20210422100606_11,Mul,AI Core,86,11665.28,1.31,135.642,1674.72,4.512014
ge_default_20210422100606_11,SoftmaxV2,AI Core,3,10080.48,3271.3,3360.16,3475.71,3.899029
ge_default_20210422100606_11,Cast,AI Core,342,9997.19,1.0,29.231,584.1,3.866814
ge_default_20210422100606_11,BatchMatMul,AI Core,14,8365.77,542.49,597.555,668.66,3.235797
ge_default_20210422100606_11,ReduceSumD,AI Core,52,7648.85,1.21,147.093,2639.01,2.958499
ge_default_20210422100606_11,RealDiv,AI Core,110,4556.2,1.31,41.42,190.43,1.762293
ge_default_20210422100606_11,ApplyAdamD,AI Core,52,3222.67,2.1,61.974,658.46,1.246497
ge_default_20210422100606_11,AssignAdd,AI Core,8,2457.91,295.88,307.238,311.63,0.950695
ge_default_20210422100606_11,ReduceMeanD,AI Core,21,2162.75,1.33,102.988,355.69,0.83653
ge_default_20210422100606_11,Sub,AI Core,3,2147.01,1.61,715.67,1081.06,0.830442
ge_default_20210422100606_11,MatMulV2,AI Core,244,2006.23,1.15,8.222,98.87,0.77599
ge_default_20210422100606_11,BNTrainingUpdate,AI Core,25,1665.47,22.85,66.618,411.85,0.644187
ge_default_20210422100606_11,Add,AI Core,19,1427.19,1.33,75.115,613.62,0.552023
ge_default_20210422100606_11,BNTrainingUpdateGrad,AI Core,24,1346.25,11.85,56.093,130.8,0.520716
ge_default_20210422100606_11,BNTrainingReduceGrad,AI Core,22,1334.25,11.6,60.647,161.33,0.516075
ge_default_20210422100606_11,Neg,AI Core,22,1333.96,1.53,60.634,270.51,0.515962
ge_default_20210422100606_11,AddN,AI Core,61,1283.34,1.16,21.038,159.12,0.496383
ge_default_20210422100606_11,SquaredDifference,AI Core,10,1279.38,8.25,127.938,369.38,0.494851
ge_default_20210422100606_11,BiasAddGrad,AI Core,8,1026.63,53.05,128.328,178.89,0.39709
ge_default_20210422100606_11,SliceD,AI Core,18,900.44,16.46,50.024,107.17,0.348281
ge_default_20210422100606_11,BNTrainingReduce,AI Core,11,653.93,21.84,59.448,245.24,0.252934
ge_default_20210422100606_11,Assign,AI Core,89,529.7,0.97,5.951,209.42,0.204883
ge_default_20210422100606_11,ReluGradV2,AI Core,12,476.65,9.03,39.72,109.32,0.184363
ge_default_20210422100606_11,BiasAdd,AI Core,6,439.53,28.49,73.255,201.63,0.170006
ge_default_20210422100606_11,Relu,AI Core,3,402.59,1.66,134.196,399.25,0.155718
ge_default_20210422100606_11,MaxPoolGrad,AI Core,4,310.18,40.44,77.545,119.62,0.119975
ge_default_20210422100606_11,L2Normalize,AI Core,85,223.37,1.36,2.627,11.57,0.086397
ge_default_20210422100606_11,ReluV2,AI Core,2,133.98,38.83,66.99,95.15,0.051822
ge_default_20210422100606_11,MaxPool,AI Core,6,87.0,7.74,14.5,28.36,0.033651
ge_default_20210422100606_11,Rsqrt,AI Core,11,16.45,1.27,1.495,1.65,0.006363
ge_default_20210422100606_11,TileD,AI Core,2,14.43,7.16,7.215,7.27,0.005581
ge_default_20210422100606_11,SplitVD,AI Core,1,9.92,9.92,9.92,9.92,0.003837
ge_default_20210422100606_11,Maximum,AI Core,1,1.59,1.59,1.59,1.59,0.000615
ge_default_20210422100606_11,Square,AI Core,1,1.22,1.22,1.22,1.22,0.000472
